Quarter,Revenue_Accuracy,Expenditure_Accuracy,Average_Accuracy,Records
Q1 2021,90.78948785441912,84.05789626715791,87.42369206078851,50
Q1 2022,80.29409797099433,77.33177912082665,78.8129385459105,50
Q1 2023,93.69591550934695,87.439642970506,90.56777923992647,50
Q1 2024,89.7656518500527,84.0276143797069,86.8966331148798,50
Q2 2021,93.38112025530458,85.84110921441514,89.61111473485985,50
Q2 2022,90.2560728227591,85.34375429816863,87.79991356046386,50
Q2 2023,93.55785367455354,87.74993041368172,90.65389204411764,50
Q2 2024,93.72875876852186,87.71988558956217,90.72432217904202,50
Q3 2021,93.939910353131,89.49966581532217,91.7197880842266,50
Q3 2022,93.73297555834395,89.71841359054014,91.72569457444204,50
Q3 2023,92.32772632485334,87.52150700096809,89.92461666291072,50
Q3 2024,92.86766756825345,86.75719546503805,89.81243151664574,50
Q4 2020,91.8900089397476,88.47953128883184,90.18477011428972,50
Q4 2021,92.28328164460358,87.89088359007229,90.08708261733793,50
Q4 2022,91.76045447340489,86.10534501987351,88.93289974663921,50
Q4 2023,92.33094305148364,88.63078786873928,90.48086546011146,50
